GISJOIN,GISJOIN2,gisjoin
G09000303301,9000303301,G0900030330100
G09000304001,9000304001,G0900030400100
G09000304002,9000304002,G0900030400200
G09000304003,9000304003,G0900030400300
G09000304051,9000304051,G0900030405100
G09000304052,9000304052,G0900030405200
G09000304053,9000304053,G0900030405300
G09000304054,9000304054,G0900030405400
G09000304055,9000304055,G0900030405500
G09000304056,9000304056,G0900030405600
G09000304057,9000304057,G0900030405700
G09000304058,9000304058,G0900030405800
G09000304059,9000304059,G0900030405900
G09000304060,9000304060,G0900030406000
G09000304061,9000304061,G0900030406100
G09000304101,9000304101,G0900030410100
G09000304151,9000304151,G0900030415100
G09000304152,9000304152,G0900030415200
G09000304153,9000304153,G0900030415300
G09000304154,9000304154,G0900030415400
G09000304155,9000304155,G0900030415500
G09000304156,9000304156,G0900030415600
G09000304157,9000304157,G0900030415700
G09000304158,9000304158,G0900030415800
G09000304159,9000304159,G0900030415900
G09000304160,9000304160,G0900030416000
G09000304161,9000304161,G0900030416100
G09000304162,9000304162,G0900030416200
G09000304163,9000304163,G0900030416300
G09000304164,9000304164,G0900030416400
G09000304165,9000304165,G0900030416500
G09000304166,9000304166,G0900030416600
G09000304167,9000304167,G0900030416700
G09000304168,9000304168,G0900030416800
G09000304169,9000304169,G0900030416900
G09000304170,9000304170,G0900030417000
G09000304201,9000304201,G0900030420100
G09000304202,9000304202,G0900030420200
G09000304203,9000304203,G0900030420300
G09000304301,9000304301,G0900030430100
G09000304302,9000304302,G0900030430200
G09000304303,9000304303,G0900030430300
G09000304304,9000304304,G0900030430400
G09000304305,9000304305,G0900030430500
G09000304306,9000304306,G0900030430600
G09000304601,9000304601,G0900030460100
G09000304602,9000304602,G0900030460200
G09000304603,9000304603,G0900030460300
G09000304621,9000304621,G0900030462100
G09000304622,9000304622,G0900030462200
G09000304641,9000304641,G0900030464100
G09000304661,9000304661,G0900030466100
G09000304662,9000304662,G0900030466200
G09000304663,9000304663,G0900030466300
G09000304664,9000304664,G0900030466400
G09000304681,9000304681,G0900030468100
G09000304701,9000304701,G0900030470100
G09000304711,9000304711,G0900030471100
G09000304712,9000304712,G0900030471200
G09000304713,9000304713,G0900030471300
G09000304714,9000304714,G0900030471400
G09000304715,9000304715,G0900030471500
G09000304731,9000304731,G0900030473100
G09000304734,9000304734,G0900030473400
G0900030473501,9.00E+11,G0900030473501
G0900030473502,9.00E+11,G0900030473502
G0900030473601,9.00E+11,G0900030473601
G0900030473602,9.00E+11,G0900030473602
G09000304737,9000304737,G0900030473700
G09000304738,9000304738,G0900030473800
G09000304761,9000304761,G0900030476100
G09000304762,9000304762,G0900030476200
G09000304763,9000304763,G0900030476300
G09000304771,9000304771,G0900030477100
G09000304772,9000304772,G0900030477200
G09000304801,9000304801,G0900030480100
G09000304802,9000304802,G0900030480200
G09000304803,9000304803,G0900030480300
G09000304804,9000304804,G0900030480400
G09000304805,9000304805,G0900030480500
G09000304806,9000304806,G0900030480600
G09000304807,9000304807,G0900030480700
G09000304808,9000304808,G0900030480800
G09000304809,9000304809,G0900030480900
G09000304810,9000304810,G0900030481000
G09000304811,9000304811,G0900030481100
G09000304812,9000304812,G0900030481200
G09000304813,9000304813,G0900030481300
G09000304841,9000304841,G0900030484100
G09000304842,9000304842,G0900030484200
G09000304871,9000304871,G0900030487100
G09000304872,9000304872,G0900030487200
G09000304873,9000304873,G0900030487300
G09000304874,9000304874,G0900030487400
G09000304875,9000304875,G0900030487500
G09000304901,9000304901,G0900030490100
G09000304902,9000304902,G0900030490200
G09000304903,9000304903,G0900030490300
G09000304921,9000304921,G0900030492100
G09000304922,9000304922,G0900030492200
G09000304923,9000304923,G0900030492300
G09000304924,9000304924,G0900030492400
G09000304925,9000304925,G0900030492500
G09000304926,9000304926,G0900030492600
G09000304941,9000304941,G0900030494100
G09000304942,9000304942,G0900030494200
G09000304943,9000304943,G0900030494300
G09000304944,9000304944,G0900030494400
G09000304945,9000304945,G0900030494500
G09000304946,9000304946,G0900030494600
G09000304961,9000304961,G0900030496100
G09000304962,9000304962,G0900030496200
G09000304963,9000304963,G0900030496300
G09000304964,9000304964,G0900030496400
G09000304965,9000304965,G0900030496500
G09000304966,9000304966,G0900030496600
G09000304967,9000304967,G0900030496700
G09000304968,9000304968,G0900030496800
G09000304969,9000304969,G0900030496900
G09000304970,9000304970,G0900030497000
G09000304971,9000304971,G0900030497100
G09000304972,9000304972,G0900030497200
G09000304973,9000304973,G0900030497300
G09000304974,9000304974,G0900030497400
G09000304975,9000304975,G0900030497500
G09000304976,9000304976,G0900030497600
G09000304977,9000304977,G0900030497700
G09000305001,9000305001,G0900030500100
G09000305002,9000305002,G0900030500200
G09000305003,9000305003,G0900030500300
G09000305004,9000305004,G0900030500400
G09000305005,9000305005,G0900030500500
G09000305006,9000305006,G0900030500600
G09000305007,9000305007,G0900030500700
G09000305008,9000305008,G0900030500800
G09000305009,9000305009,G0900030500900
G09000305010,9000305010,G0900030501000
G09000305011,9000305011,G0900030501100
G09000305012,9000305012,G0900030501200
G09000305013,9000305013,G0900030501300
G09000305014,9000305014,G0900030501400
G09000305015,9000305015,G0900030501500
G09000305016,9000305016,G0900030501600
G09000305017,9000305017,G0900030501700
G09000305018,9000305018,G0900030501800
G09000305019,9000305019,G0900030501900
G09000305020,9000305020,G0900030502000
G09000305021,9000305021,G0900030502100
G09000305022,9000305022,G0900030502200
G09000305023,9000305023,G0900030502300
G09000305024,9000305024,G0900030502400
G09000305025,9000305025,G0900030502500
G09000305026,9000305026,G0900030502600
G09000305027,9000305027,G0900030502700
G09000305028,9000305028,G0900030502800
G09000305029,9000305029,G0900030502900
G09000305030,9000305030,G0900030503000
G09000305031,9000305031,G0900030503100
G09000305032,9000305032,G0900030503200
G09000305033,9000305033,G0900030503300
G09000305034,9000305034,G0900030503400
G09000305035,9000305035,G0900030503500
G09000305036,9000305036,G0900030503600
G09000305037,9000305037,G0900030503700
G09000305038,9000305038,G0900030503800
G09000305039,9000305039,G0900030503900
G09000305040,9000305040,G0900030504000
G09000305041,9000305041,G0900030504100
G09000305042,9000305042,G0900030504200
G09000305043,9000305043,G0900030504300
G09000305044,9000305044,G0900030504400
G09000305045,9000305045,G0900030504500
G09000305046,9000305046,G0900030504600
G09000305047,9000305047,G0900030504700
G09000305048,9000305048,G0900030504800
G09000305049,9000305049,G0900030504900
G09000305101,9000305101,G0900030510100
G09000305102,9000305102,G0900030510200
G09000305103,9000305103,G0900030510300
G09000305104,9000305104,G0900030510400
G09000305105,9000305105,G0900030510500
G09000305106,9000305106,G0900030510600
G09000305107,9000305107,G0900030510700
G09000305108,9000305108,G0900030510800
G09000305109,9000305109,G0900030510900
G09000305110,9000305110,G0900030511000
G09000305111,9000305111,G0900030511100
G09000305112,9000305112,G0900030511200
G09000305113,9000305113,G0900030511300
G09000305114,9000305114,G0900030511400
G09000305141,9000305141,G0900030514100
G09000305142,9000305142,G0900030514200
G09000305143,9000305143,G0900030514300
G09000305144,9000305144,G0900030514400
G09000305145,9000305145,G0900030514500
G09000305146,9000305146,G0900030514600
G09000305147,9000305147,G0900030514700
G09000305148,9000305148,G0900030514800
G09000305149,9000305149,G0900030514900
G09000305150,9000305150,G0900030515000
G09000305151,9000305151,G0900030515100
G09000305152,9000305152,G0900030515200
G09000305201,9000305201,G0900030520100
G0900030520201,9.00E+11,G0900030520201
G0900030520202,9.00E+11,G0900030520202
G09000305203,9000305203,G0900030520300
G09000305204,9000305204,G0900030520400
G0900030520501,9.00E+11,G0900030520501
G0900030520502,9.00E+11,G0900030520502
G09000305241,9000305241,G0900030524100