gisjoin,town,area,num,pop,pctw,pctnw
Avon,Avon,town,,3171,100,0
Berlin,Berlin,town,,7470,99,1
Bristol,Bristol,town,,35961,100,0
Burlington,Burlington,town,,1846,100,0
Canton,Canton,town,,3613,100,0
East Granby,East Granby,town,,1327,97,3
East Windsor,East Windsor,town,,4859,98,2
Enfield,Enfield,town,,15464,99,1
Farmington,Farmington,town,,7026,99,1
Glastonbury,Glastonbury,town,,8818,99,1
Granby,Granby,town,,2693,100,0
Hartland,Hartland,town,,549,100,0
Manchester,Manchester,town,,34116,100,0
Marlborough,Marlborough,town,,901,99,1
New Britain,New Britain,town,,73726,99,1
Plainville,Plainville,town,,9994,98,2
Rocky Hill,Rocky Hill,town,,5108,99,1
Simsbury,Simsbury,town,,4822,99,1
South Windsor,South Windsor,town,,13061,99,1
Southington,Southington,town,,4066,100,0
Suffield,Suffield,town,,4895,96,4
Windsor Locks,Windsor Locks,town,,5221,99,1