gisjoin,area,num,pop,pctw,pctnw
G0900030HA0040A,tract,040A,4710,100,0
G0900030HA0040B,tract,040B,3716,64,36
G0900030HA0040C,tract,040C,2474,100,0
G0900030HA0040D,tract,040D,3849,100,0
G09000300001,tract,1,2476,95,5
G09000300002,tract,2,7199,97,3
G09000300003,tract,3,5101,100,0
G09000300004,tract,4,3480,100,0
G09000300005,tract,5,1974,100,0
G09000300006,tract,6,3804,99,1
G09000300007,tract,7,4799,84,15
G09000300008,tract,8,5745,98,2
G09000300009,tract,9,4907,100,0
G09000300010,tract,10,3795,98,2
G09000300011,tract,11,3389,91,9
G09000300012,tract,12,5894,94,6
G09000300013,tract,13,3650,99,1
G09000300014,tract,14,3800,100,0
G09000300015,tract,15,4655,100,0
G09000300016,tract,16,3472,100,0
G09000300017,tract,17,3064,99,1
G09000300018,tract,18,2606,90,10
G09000300019,tract,19,2969,100,0
G09000300020,tract,20,5422,97,2
G0900030AV0168,tract,168,5273,100,0
G0900030BE0001,tract,001,11250,100,0
G0900030BL0115,tract,115,3863,92,8
G0900030BL0116,tract,116,2863,85,15
G0900030BL0117,tract,117,3332,100,1
G0900030BL0118,tract,118,3555,98,2
G0900030CA0189,tract,189,4783,100,0
G0900030EH0126,tract,126,4395,98,2
G0900030EH0127,tract,127,3517,99,1
G0900030EH0128,tract,128,4170,99,0
G0900030EH0129,tract,129,6409,99,0
G0900030EH0130,tract,130,4744,99,1
G0900030EH0131,tract,131,3238,100,0
G0900030EH0132,tract,132,3199,100,0
G0900030EH0133,tract,133,3505,100,1
G0900030EH0134,tract,134,3379,100,0
G0900030EH0135,tract,135,4280,99,1
G0900030EH0136,tract,136,3141,100,0
G0900030EN0187,tract,187,31464,99,1
G0900030EW0175,tract,175,4856,97,3
G0900030EW0176,tract,176,2644,99,0
G0900030FA0165,tract,165,2192,100,0
G0900030FA0166,tract,166,4265,99,1
G0900030FA0167,tract,167,4356,100,0
G0900030GL0147,tract,147,2832,100,1
G0900030GL0148,tract,148,5229,100,0
G0900030GL0149,tract,149,4018,99,1
G0900030GL0150,tract,150,2418,100,0
G0900030HA0001,tract,001,3500,99,1
G0900030HA0002,tract,002,2960,99,1
G0900030HA0003,tract,003,5637,99,1
G0900030HA0004,tract,004,2783,88,12
G0900030HA0005,tract,005,2607,98,0
G0900030HA0006,tract,006,338,97,0
G0900030HA0007,tract,007,2022,49,50
G0900030HA0008,tract,008,1879,20,81
G0900030HA0009,tract,009,4510,2,98
G0900030HA0010A,tract,010,4474,42,58
G0900030HA0010B,tract,010,1503,39,61
G0900030HA0011A,tract,011,2491,42,58
G0900030HA0011B,tract,011,3701,35,65
G0900030HA0012,tract,012,3270,95,5
G0900030HA0013,tract,013,4607,62,38
G0900030HA0014,tract,014,1362,83,16
G0900030HA0015,tract,015,3374,61,39
G0900030HA0016,tract,016,5503,44,56
G0900030HA0017,tract,017,1224,98,4
G0900030HA0018,tract,018,1157,99,4
G0900030HA0019A,tract,019A,896,93,7
G0900030HA0019B,tract,019B,1832,93,7
G0900030HA0020,tract,020,4813,100,0
G0900030HA0021,tract,021,6009,98,2
G0900030HA0022,tract,022,2211,99,1
G0900030HA0023,tract,023,4964,100,0
G0900030HA0024,tract,024,5186,100,0
G0900030HA0025,tract,025,4160,100,0
G0900030HA0026,tract,026,3301,100,0
G0900030HA0027,tract,027,3354,100,1
G0900030HA0028,tract,028,5115,100,1
G0900030HA0029,tract,029,1192,99,0
G0900030HA0030,tract,030,1907,99,0
G0900030HA0031,tract,031,3137,99,0
G0900030HA0032,tract,032,2189,98,2
G0900030HA0033,tract,033,1131,99,0
G0900030HA0034,tract,034,3543,90,10
G0900030HA0035A,tract,035A,3216,75,24
G0900030HA0035B,tract,035B,6001,99,1
G0900030HA0035C,tract,035C,3928,99,0
G0900030HA0036,tract,036,1963,100,1
G0900030HA0037,tract,037,4882,99,1
G0900030HA0038,tract,038,3196,99,1
G0900030HA0039,tract,039,4256,100,1
G0900030HA0041,tract,041,6119,91,9
G0900030MA0137,tract,137,1703,100,0
G0900030MA0138,tract,138,2569,99,1
G0900030MA0139,tract,139,5043,100,0
G0900030MA0140,tract,140,4881,100,0
G0900030MA0141,tract,141,5296,100,0
G0900030MA0142,tract,142,4767,100,0
G0900030MA0143,tract,143,3990,100,0
G0900030MA0144,tract,144,3535,100,0
G0900030MA0145,tract,145,6385,100,0
G0900030MA0146,tract,146,3933,98,2
G0900030NE0160,tract,160,3284,99,1
G0900030NE0161,tract,161,3355,100,1
G0900030NE0162,tract,162,5018,100,0
G0900030NE0163,tract,163,4075,98,1
G0900030NE0164,tract,164,1932,99,1
G0900030PV0001,tract,001,13149,98,2
G0900030RH0151,tract,151,3040,100,0
G0900030RH0152,tract,152,1124,93,7
G0900030RH0153,tract,153,3240,99,1
G0900030SI0169,tract,169,3820,99,0
G0900030SI0170,tract,170,1888,97,3
G0900030SI0171,tract,171,2450,100,0
G0900030SI0172,tract,172,1980,100,0
G0900030SO0001,tract,001,22797,100,0
G0900030SU0188,tract,188,6779,97,3
G0900030SW0124,tract,124,5698,100,0
G0900030SW0125,tract,125,3762,98,1
G0900030WE0154,tract,154,4047,94,6
G0900030WE0155,tract,155,4748,100,0
G0900030WE0156,tract,156,4535,100,0
G0900030WE0157,tract,157,2617,100,1
G0900030WE0158,tract,158,2068,100,0
G0900030WE0159,tract,159,2546,100,0
G0900030WH0101,tract,101,2637,100,0
G0900030WH0102,tract,102,4848,100,0
G0900030WH0103,tract,103,4320,100,0
G0900030WH0104,tract,104,5785,100,0
G0900030WH0105,tract,105,2798,100,0
G0900030WH0106,tract,106,3909,100,0
G0900030WH0107,tract,107,3899,100,0
G0900030WH0108,tract,108,6957,100,0
G0900030WH0109,tract,109,4625,99,0
G0900030WH0110,tract,110,4193,100,0
G0900030WH0111,tract,111,6243,99,1
G0900030WH0112,tract,112,6839,99,1
G0900030WH0113,tract,113,2743,100,0
G0900030WH0114,tract,114,2586,99,1
G0900030WI0119,tract,119,2993,99,2
G0900030WI0120,tract,120,4962,98,2
G0900030WI0121,tract,121,3085,100,0
G0900030WI0122,tract,122,2518,98,2
G0900030WI0123,tract,123,5909,88,12
G0900030WL0174,tract,174,11411,99,1