gisjoin,town,area,num,pop,pctw,pctnw
Bristol,Bristol,town,,45499,99,1
Burlington,Burlington,town,,2790,100,0
East Granby,East Granby,town,,2434,99,1
Granby,Granby,town,,4968,100,0
Hartland,Hartland,town,,1416,100,0
Marlborough,Marlborough,town,,1961,100,0
G0900030WH0111,West Hartford,tract,111,6243,99,1
G0900030WH0101,West Hartford,tract,101,2637,100,0
G0900030FA0167,Farmington,tract,167,4356,100,0
G0900030MA0144,Manchester,tract,144,3535,100,0
G0900030RH0152,Rocky Hill,tract,152,1124,93,7
G0900030WH0102,West Hartford,tract,102,4848,100,0
G09000300001,New Britain,tract,1,2476,95,5
G0900030BL0118,Bloomfield,tract,118,3555,98,2
G0900030HA0033,Hartford,tract,033,1131,99,0
G0900030GL0149,Glastonbury,tract,149,4018,99,1
G0900030HA0019A,Hartford,tract,019A,896,93,7
G0900030HA0031,Hartford,tract,031,3137,99,0
G0900030NE0163,Newington,tract,163,4075,98,1
G0900030WH0106,West Hartford,tract,106,3909,100,0
G09000300018,New Britain,tract,18,2606,90,10
G0900030MA0140,Manchester,tract,140,4881,100,0
G0900030MA0142,Manchester,tract,142,4767,100,0
G0900030HA0006,Hartford,tract,006,338,97,0
G0900030SI0172,Simsbury,tract,172,1980,100,0
G0900030HA0037,Hartford,tract,037,4882,99,1
G0900030NE0162,Newington,tract,162,5018,100,0
G0900030HA0013,Hartford,tract,013,4607,62,38
G0900030HA0016,Hartford,tract,016,5503,44,56
G0900030WH0107,West Hartford,tract,107,3899,100,0
G0900030HA0010B,Hartford,tract,010,1503,39,61
G0900030WH0113,West Hartford,tract,113,2743,100,0
G0900030WH0104,West Hartford,tract,104,5785,100,0
G0900030CA0189,Canton,tract,189,4783,100,0
G0900030SI0171,Simsbury,tract,171,2450,100,0
G0900030HA0005,Hartford,tract,005,2607,98,0
G0900030WI0121,Windsor,tract,121,3085,100,0
G0900030HA0015,Hartford,tract,015,3374,61,39
G0900030SI0169,Simsbury,tract,169,3820,99,0
G09000300006,New Britain,tract,6,3804,99,1
G0900030BL0117,Bloomfield,tract,117,3332,100,1
G0900030HA0011A,Hartford,tract,011,2491,42,58
G0900030EN0187,Enfield,tract,187,31464,99,1
G0900030HA0030,Hartford,tract,030,1907,99,0
G0900030EH0134,East Hartford,tract,134,3379,100,0
G0900030WH0114,West Hartford,tract,114,2586,99,1
G09000300011,New Britain,tract,11,3389,91,9
G0900030EH0135,East Hartford,tract,135,4280,99,1
G0900030WH0110,West Hartford,tract,110,4193,100,0
G0900030HA0004,Hartford,tract,004,2783,88,12
G0900030SW0124,South Windsor,tract,124,5698,100,0
G0900030HA0020,Hartford,tract,020,4813,100,0
G0900030HA0019B,Hartford,tract,019B,1832,93,7
G0900030WE0158,Wethersfield,tract,158,2068,100,0
G0900030EH0136,East Hartford,tract,136,3141,100,0
G09000300007,New Britain,tract,7,4799,84,15
G0900030NE0164,Newington,tract,164,1932,99,1
G0900030WI0119,Windsor,tract,119,2993,99,2
G0900030EH0128,East Hartford,tract,128,4170,99,0
G0900030WH0108,West Hartford,tract,108,6957,100,0
G0900030WH0109,West Hartford,tract,109,4625,99,0
G0900030HA0027,Hartford,tract,027,3354,100,1
G0900030HA0023,Hartford,tract,023,4964,100,0
G0900030HA0001,Hartford,tract,001,3500,99,1
G0900030HA0026,Hartford,tract,026,3301,100,0
G0900030HA0018,Hartford,tract,018,1157,99,4
G09000300014,New Britain,tract,14,3800,100,0
G0900030SO0001,Southington,tract,001,22797,100,0
G0900030BL0115,Bloomfield,tract,115,3863,92,8
G0900030RH0153,Rocky Hill,tract,153,3240,99,1
G0900030HA0040A,Hartford,tract,040A,4710,100,0
G0900030FA0165,Farmington,tract,165,2192,100,0
G09000300020,New Britain,tract,20,5422,97,2
G0900030HA0040D,Hartford,tract,040D,3849,100,0
G0900030HA0029,Hartford,tract,029,1192,99,0
G09000300002,New Britain,tract,2,7199,97,3
G0900030HA0040B,Hartford,tract,040B,3716,64,36
G0900030HA0040C,Hartford,tract,040C,2474,100,0
G0900030MA0138,Manchester,tract,138,2569,99,1
G0900030BL0116,Bloomfield,tract,116,2863,85,15
G0900030WI0120,Windsor,tract,120,4962,98,2
G0900030SI0170,Simsbury,tract,170,1888,97,3
G0900030GL0148,Glastonbury,tract,148,5229,100,0
G0900030EH0132,East Hartford,tract,132,3199,100,0
G0900030SW0125,South Windsor,tract,125,3762,98,1
G0900030GL0147,Glastonbury,tract,147,2832,100,1
G0900030WE0157,Wethersfield,tract,157,2617,100,1
G0900030EH0127,East Hartford,tract,127,3517,99,1
G0900030SU0188,Suffield,tract,188,6779,97,3
G0900030HA0041,Hartford,tract,041,6119,91,9
G0900030HA0028,Hartford,tract,028,5115,100,1
G0900030MA0141,Manchester,tract,141,5296,100,0
G0900030EH0133,East Hartford,tract,133,3505,100,1
G0900030EH0129,East Hartford,tract,129,6409,99,0
G0900030HA0011B,Hartford,tract,011,3701,35,65
G0900030HA0010A,Hartford,tract,010,4474,42,58
G0900030MA0139,Manchester,tract,139,5043,100,0
G0900030MA0145,Manchester,tract,145,6385,100,0
G0900030WH0103,West Hartford,tract,103,4320,100,0
G0900030WI0122,Windsor,tract,122,2518,98,2
G0900030HA0035C,Hartford,tract,035C,3928,99,0
G0900030HA0012,Hartford,tract,012,3270,95,5
G0900030HA0034,Hartford,tract,034,3543,90,10
G0900030FA0166,Farmington,tract,166,4265,99,1
G0900030EH0131,East Hartford,tract,131,3238,100,0
G0900030WE0155,Wethersfield,tract,155,4748,100,0
G0900030GL0150,Glastonbury,tract,150,2418,100,0
G0900030HA0014,Hartford,tract,014,1362,83,16
G0900030HA0008,Hartford,tract,008,1879,20,81
G09000300013,New Britain,tract,13,3650,99,1
G0900030HA0025,Hartford,tract,025,4160,100,0
G0900030RH0151,Rocky Hill,tract,151,3040,100,0
G0900030WE0159,Wethersfield,tract,159,2546,100,0
G09000300004,New Britain,tract,4,3480,100,0
G0900030WL0174,Windsor Locks,tract,174,11411,99,1
G0900030HA0035A,Hartford,tract,035A,3216,75,24
G09000300005,New Britain,tract,5,1974,100,0
G0900030AV0168,Avon,tract,168,5273,100,0
G0900030NE0160,Newington,tract,160,3284,99,1
G0900030HA0003,Hartford,tract,003,5637,99,1
G0900030HA0038,Hartford,tract,038,3196,99,1
G0900030EH0130,East Hartford,tract,130,4744,99,1
G0900030MA0143,Manchester,tract,143,3990,100,0
G0900030WE0156,Wethersfield,tract,156,4535,100,0
G0900030HA0032,Hartford,tract,032,2189,98,2
G0900030EH0126,East Hartford,tract,126,4395,98,2
G09000300015,New Britain,tract,15,4655,100,0
G0900030HA0017,Hartford,tract,017,1224,98,4
G0900030HA0035B,Hartford,tract,035B,6001,99,1
G0900030HA0036,Hartford,tract,036,1963,100,1
G09000300010,New Britain,tract,10,3795,98,2
G0900030WI0123,,tract,123,5909,88,12
G0900030BE0001,Berlin,tract,001,11250,100,0
G0900030HA0002,Hartford,tract,002,2960,99,1
G0900030MA0137,Manchester,tract,137,1703,100,0
G0900030HA0007,Hartford,tract,007,2022,49,50
G09000300016,New Britain,tract,16,3472,100,0
G0900030EW0176,East Windsor,tract,176,2644,99,0
G0900030MA0146,Manchester,tract,146,3933,98,2
G0900030WH0105,West Hartford,tract,105,2798,100,0
G0900030WH0112,West Hartford,tract,112,6839,99,1
G0900030HA0024,Hartford,tract,024,5186,100,0
G0900030WE0154,Wethersfield,tract,154,4047,94,6
G09000300009,New Britain,tract,9,4907,100,0
G0900030HA0022,Hartford,tract,022,2211,99,1
G09000300003,New Britain,tract,3,5101,100,0
G09000300008,New Britain,tract,8,5745,98,2
G09000300012,New Britain,tract,12,5894,94,6
G0900030EW0175,East Windsor,tract,175,4856,97,3
G0900030HA0021,Hartford,tract,021,6009,98,2
G0900030NE0161,Newington,tract,161,3355,100,1
G09000300019,New Britain,tract,19,2969,100,0
G0900030HA0009,Hartford,tract,009,4510,2,98
G09000300017,New Britain,tract,17,3064,99,1
G0900030HA0039,Hartford,tract,039,4256,100,1
G0900030PV0001,Plainville,tract,001,13149,98,2